Summary number,Region,LeftCount,RightCount,TotalCount
1,Solitariospinal Area,70,64,476
2,Medullary Reticular Nuclei,94,97,60
3,Magnocellular Ret. Nuc.,33,36,1327
4,Gigantocellular reticular nucleus,76,73,4530
5,Lateral Reticular Nuclei,91,87,421
6,Dorsal Reticular Nucleus,96,96,18
7,Raphe Nuclei,30,37,572
8,Perihypoglossal Area,86,90,25
9,Medullary Trigeminal Area,98,91,16
10,Vestibular Nuclei,94,87,289
11,Pontine Reticular Nuclei,62,65,2603
12,Superior Olivary Complex,77,47,77
13,Pontine Trigeminal Area,69,72,45
14,Pontine Central Gray Area,47,41,2231
15,Parabrachial / Pedunculopontine,58,64,818
16,Cerebellospinal Nuclei,99,98,11
17,Red Nucleus,44,57,1957
18,Midbrain Midline Nuclei,82,80,462
19,Midbrain Reticular Nuclei,78,73,1081
20,Periaqueductal Gray,68,63,796
21,Hypothalamic Periventricular Zone,19,29,285
22,Hypothalamic Lateral Area,63,59,1286
23,Hypothalamic Medial Area,73,70,227
24,Thalamus,39,24,1058
25,Corticospinal,80,83,3563
